Vote Manager,Vote Cast
BlackRock Fund Advisors,Against
Legal & General,Against
Aviva Investors Global Services Ltd.,Against
UBS Asset Management Switzerland AG    ,Against
Dimensional Fund Advisors LP,Against
USS Investment Management Ltd.,Against
Liontrust Investment Management Ltd.,Against
State Street Global Advisors Ltd.,Against
HSBC Global Asset Management (UK) Ltd.,Against
"American Century Investment Management, Inc.",Against
